timestamp,voltage,current,power
424000.0,254.35,0.13,33.0655
425000.0,254.32,0.12,30.5184
426000.0,254.3,0.133,33.8219
427000.0,254.41,0.129,32.81889
428000.0,254.52,0.14,35.6328
429000.0,255.05,0.132,33.6666
430000.0,255.08,0.129,32.90532
431000.0,254.69,0.158,40.24102
432000.0,254.45,0.152,38.6764
433000.0,254.4,0.129,32.8176
434000.0,254.43,0.138,35.11134
435000.0,254.39,0.156,39.68484
436000.0,254.33,0.146,37.13218
437000.0,254.5,0.156,39.702
438000.0,254.53,0.152,38.68856
439000.0,255.12,0.141,35.97192
440000.0,255.28,0.164,41.86592
441000.0,254.45,0.154,39.1853
442000.0,254.44,0.156,39.69264
443000.0,254.44,0.166,42.23704
444000.0,254.4,0.158,40.1952
445000.0,254.29,0.157,39.92353
446000.0,254.27,0.159,40.42893
447000.0,254.46,0.156,39.69576
448000.0,254.7,0.156,39.7332
449000.0,255.23,0.156,39.81588
450000.0,254.89,0.16,40.7824
451000.0,254.47,0.158,40.20626
452000.0,254.43,0.154,39.18222
453000.0,255.15,0.152,38.7828
454000.0,256.15,0.158,40.4717
455000.0,256.03,0.16,40.9648
456000.0,256.08,0.152,38.92416
457000.0,256.22,0.155,39.7141
458000.0,256.65,0.136,34.9044
459000.0,256.55,0.113,28.99015
460000.0,256.0,0.146,37.376
461000.0,255.98,0.147,37.62906
462000.0,256.02,0.139,35.58678
463000.0,256.04,0.141,36.10164
464000.0,256.08,0.136,34.82688
465000.0,256.27,0.126,32.29002
466000.0,257.16,0.145,37.2882
467000.0,257.78,0.14,36.0892
468000.0,256.97,0.118,30.32246
469000.0,256.84,0.102,26.19768
470000.0,256.71,0.126,32.34546
471000.0,256.75,0.116,29.783
472000.0,256.92,0.106,27.23352
473000.0,257.18,0.14,36.0052
474000.0,257.76,0.095,24.4872
475000.0,257.27,0.097,24.95519
476000.0,256.93,0.088,22.60984
477000.0,256.6,0.097,24.8902
478000.0,256.58,0.085,21.8093
479000.0,256.62,0.091,23.35242
480000.0,256.63,0.118,30.28234
481000.0,257.4,0.124,31.9176
482000.0,257.22,0.118,30.35196
483000.0,256.58,0.147,37.71726
484000.0,256.49,0.147,37.70403
485000.0,256.5,0.142,36.423
486000.0,256.63,0.152,39.00776
487000.0,256.85,0.147,37.75695
488000.0,257.37,0.133,34.23021
489000.0,257.16,0.139,35.74524
490000.0,256.47,0.147,37.70109
491000.0,256.64,0.151,38.75264
492000.0,256.52,0.146,37.45192
493000.0,256.49,0.154,39.49946
494000.0,256.62,0.145,37.2099
495000.0,256.62,0.151,38.74962
496000.0,257.31,0.143,36.79533
497000.0,256.97,0.143,36.74671
498000.0,256.48,0.138,35.39424
499000.0,256.53,0.145,37.19685
500000.0,256.5,0.147,37.7055
501000.0,256.45,0.152,38.9804
502000.0,256.71,0.15,38.5065
503000.0,257.3,0.15,38.595
504000.0,256.66,0.148,37.98568
505000.0,256.41,0.144,36.92304
506000.0,256.33,0.139,35.62987
507000.0,256.38,0.133,34.09854
508000.0,256.41,0.088,22.56408
509000.0,256.37,0.132,33.84084
510000.0,256.69,0.14,35.9366
511000.0,257.16,0.144,37.03104
512000.0,257.04,0.147,37.78488
513000.0,256.58,0.158,40.53964
514000.0,256.64,0.147,37.72608
515000.0,256.63,0.112,28.74256
516000.0,256.58,0.135,34.6383
517000.0,256.63,0.146,37.46798
518000.0,256.7,0.141,36.1947
519000.0,257.28,0.134,34.47552
520000.0,257.54,0.09,23.1786
521000.0,257.0,0.122,31.354
522000.0,256.73,0.111,28.49703
523000.0,256.72,0.128,32.86016
524000.0,256.86,0.089,22.86054
525000.0,257.47,0.085,21.88495
526000.0,257.44,0.098,25.22912
527000.0,256.88,0.118,30.31184
528000.0,256.84,0.121,31.07764
529000.0,256.92,0.098,25.17816
530000.0,256.87,0.131,33.64997
531000.0,256.83,0.151,38.78133
532000.0,256.61,0.155,39.77455
533000.0,256.99,0.121,31.09579
534000.0,257.58,0.112,28.84896
535000.0,257.55,0.14,36.057
536000.0,256.91,0.124,31.85684
537000.0,256.44,0.11,28.2084
538000.0,255.82,0.138,35.30316
539000.0,255.65,0.118,30.1667
540000.0,255.69,0.129,32.98401
541000.0,255.62,0.142,36.29804
542000.0,256.06,0.137,35.08022
543000.0,256.4,0.139,35.6396
544000.0,255.97,0.151,38.65147
545000.0,255.68,0.145,37.0736
546000.0,255.67,0.148,37.83916
547000.0,255.5,0.149,38.0695
548000.0,255.48,0.145,37.0446
549000.0,255.57,0.149,38.07993
550000.0,255.71,0.142,36.31082
551000.0,255.93,0.143,36.59799
552000.0,256.49,0.135,34.62615
553000.0,256.19,0.137,35.09803
554000.0,255.51,0.138,35.26038
555000.0,255.56,0.145,37.0562
556000.0,255.64,0.147,37.57908
557000.0,255.26,0.15,38.289
558000.0,254.01,0.149,37.84749
559000.0,253.94,0.154,39.10676
560000.0,254.13,0.15,38.1195
561000.0,254.08,0.145,36.8416
562000.0,253.81,0.159,40.35579
563000.0,253.73,0.122,30.95506
564000.0,253.65,0.145,36.77925
565000.0,253.69,0.125,31.71125
566000.0,253.87,0.15,38.0805
567000.0,254.51,0.141,35.88591
568000.0,254.3,0.142,36.1106
569000.0,253.84,0.101,25.63784
570000.0,253.99,0.121,30.73279
571000.0,253.9,0.143,36.3077
572000.0,255.88,0.127,32.49676
573000.0,257.78,0.103,26.55134
574000.0,257.8,0.144,37.1232
575000.0,257.06,0.102,26.22012
576000.0,255.74,0.1,25.574
577000.0,256.06,0.096,24.58176
578000.0,254.96,0.093,23.71128
579000.0,254.24,0.094,23.89856
580000.0,254.15,0.096,24.3984
581000.0,254.13,0.116,29.47908
582000.0,254.21,0.147,37.36887
583000.0,254.13,0.122,31.00386
584000.0,254.2,0.133,33.8086
585000.0,254.22,0.151,38.38722
586000.0,254.16,0.146,37.10736
587000.0,254.07,0.124,31.50468
588000.0,254.19,0.134,34.06146
589000.0,254.76,0.141,35.92116
590000.0,254.95,0.105,26.76975
591000.0,254.06,0.139,35.31434
592000.0,253.7,0.143,36.2791
593000.0,253.78,0.145,36.7981
594000.0,253.76,0.14,35.5264
595000.0,253.72,0.138,35.01336
596000.0,253.72,0.141,35.77452
597000.0,253.74,0.144,36.53856
598000.0,253.77,0.138,35.02026
599000.0,253.59,0.141,35.75619
600000.0,253.64,0.145,36.7778
601000.0,253.73,0.15,38.0595
602000.0,253.97,0.155,39.36535
603000.0,254.57,0.144,36.65808
604000.0,254.2,0.147,37.3674
605000.0,253.74,0.139,35.26986
606000.0,253.78,0.144,36.54432
607000.0,253.78,0.142,36.03676
608000.0,253.73,0.133,33.74609
609000.0,253.73,0.109,27.65657
610000.0,253.72,0.146,37.04312
